Starting omnigent server on 127.0.0.1:57380
  database:  sqlite:////private/tmp/rh-omnigent-phased-budget/omnigent/sessions.db
INFO  [httpx] HTTP Request: GET http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/skills "HTTP/1.1 200 OK"
INFO  [httpx] HTTP Request: GET http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533 "HTTP/1.1 200 OK"
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions "HTTP/1.1 201 Created"
INFO  [omnigent.server.routes.sessions] Relay: creating new for session=4c7e3952a92043baa96d8ae73a26d533 runner=runner_token_864c6104db7849abfb824e0f5896e4ed
INFO  [omnigent.server.routes.sessions] Relay: connecting to runner GET /stream for session=4c7e3952a92043baa96d8ae73a26d533
INFO  [httpx] HTTP Request: GET http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/stream "HTTP/1.1 200 OK"
INFO  [omnigent.server.routes.sessions] Relay: connected to runner GET /stream for session=4c7e3952a92043baa96d8ae73a26d533
INFO  [omnigent.server.routes.sessions] Relay: reusing existing for session=4c7e3952a92043baa96d8ae73a26d533 runner=runner_token_864c6104db7849abfb824e0f5896e4ed
INFO  [httpx] HTTP Request: GET http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/resources/terminals?order=asc&limit=1000 "HTTP/1.1 200 OK"
INFO  [omnigent.server.routes.sessions] Relay: reusing existing for session=4c7e3952a92043baa96d8ae73a26d533 runner=runner_token_864c6104db7849abfb824e0f5896e4ed
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/events "HTTP/1.1 202 Accepted"
INFO  [omnigent.server.routes.sessions] turn dispatched to runner for session=4c7e3952a92043baa96d8ae73a26d533
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/mcp/execute "HTTP/1.1 200 OK"
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/mcp/execute "HTTP/1.1 200 OK"
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/mcp/execute "HTTP/1.1 200 OK"
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/mcp/execute "HTTP/1.1 200 OK"
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/mcp/execute "HTTP/1.1 200 OK"
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/mcp/execute "HTTP/1.1 200 OK"
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/mcp/execute "HTTP/1.1 200 OK"
INFO  [httpx] HTTP Request: POST http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533/mcp/execute "HTTP/1.1 200 OK"
WARNI [omnigent.server.routes.runner_tunnel] Tunnel helper task disconnected for runner runner_token_864c6104db7849abfb824e0f5896e4ed: tunnel-receive:runner_token_864c6104db7849abfb824e0f5896e4ed (code=1000, reason='')
WARNI [omnigent.runner.transports.ws_tunnel.registry] Deregistering runner runner_token_864c6104db7849abfb824e0f5896e4ed; aborting 1 in-flight request(s)
WARNI [omnigent.server.routes.runner_tunnel] Runner runner_token_864c6104db7849abfb824e0f5896e4ed websocket disconnected (code=1000, reason='')
INFO  [omnigent.server.routes.sessions] Relay: task exiting for session=4c7e3952a92043baa96d8ae73a26d533
INFO  [omnigent.server.routes.sessions] Relay: runner transport lost for session=4c7e3952a92043baa96d8ae73a26d533; retrying for 10.0s
